"skill","tags"
"ReactJS","JavaScript,Front-end Web Development,Framework,Library"
"JavaScript (Programming Language)","Programming Language"
"Node.Js","Back-end Web Development,Framework,Library"
"Cascading Style Sheets (CSS)","Programming Language,Front-end Web Development"
"Amazon Web Services","Cloud Computing,Serverless Computing,Infrastructure,Toolings,API,Back-end Web Development,DevOps,Performance monitoring,Security,Network,Analytics"
"TypeScript","Programming Language,Front-end Web Development,Back-end Web Development"
"MongoDB","Back-end Web Development,Database,NoSQL,Data modeling,Performance tuning"
"Python (Programming Language)","Programming Language"
"MySQL","Back-end Web Development,Database,SQL,Relational Database,Data modeling,Performance tuning"
"Java (Programming Language)","Programming Language"
"HTML","Programming Language,Front-end Web Development"
"AngularJS","JavaScript,Front-end Web Development,Framework,Library"
"Git","Version Control,Toolings"
"PostgreSQL","Back-end Web Development,Database,SQL,Relational Database,Data modeling,Performance tuning"
"Docker","Containerization,DevOps,Toolings,Infrastructure"
"React Redux","JavaScript,Front-end Web Development,Framework,Library,State Management"
"Graphql","API,Data Query Language,Back-end Web Development,Front-end Web Development"
"Restful APIs","API,Back-end Web Development,Front-end Web Development"
"Next.js","JavaScript,Front-end Web Development,Framework,Library,Server-side Rendering"
"Vue.js","JavaScript,Front-end Web Development,Framework,Library"
"Django Web Framework","Python,Back-end Web Development,Framework,Library"
"PHP (Programming Language)","Programming Language,Back-end Web Development"
"Bootstrap (Software)","Front-end Web Development,Framework,Library,CSS,JavaScript"
"Github","Project management,Toolings"
"JIRA","Project management,Toolings,Agile,Scrum"
"React Native","JavaScript,Mobile App Development,Framework,Library"
"Express.js","JavaScript,Back-end Web Development,Framework,Library"
"Microsoft Azure","Cloud Computing,Serverless Computing,Infrastructure,Toolings,API,Back-end Web Development,DevOps,Performance monitoring,Security,Network,Analytics"
"JQuery","JavaScript,Front-end Web Development,Library"
"Kubernetes","Containerization,DevOps,Infrastructure,Toolings,Network,Security"
"HTML5","Front-end Web Development,Markup Language"
"Spring-boot","Java,Back-end Web Development,Framework,Library"
"Agile Methodology","Project Management,Software Development Methodology"
"C Sharp (Programming Language)","Programming Language"
"Jenkins","Continuous Integration,Continuous Deployment,DevOps,Toolings"
"C++","Programming Language"
"Linux","Operating System,System Administration,Security,Network"
"Laravel","PHP,Back-end Web Development,Framework,Library"
"Continuous Integration","DevOps,Automation,Testing,Toolings"
"Tailwind","CSS,Front-end Web Development,Framework,Library"
"Cloud Computing","Infrastructure,Network,Security,Performance monitoring,Analytics"
"Testing Skills","Quality Assurance,Debugging,Performance testing,Security testing"
"Application Programming Interfaces (APIs)","Back-end Web Development,Integration,Toolings"
"Flask (Web Framework)","Python,Back-end Web Development,Framework,Library"
"Scrum Methodology","Project management,Agile,Teamwork"
"Microsoft SQL Server","Back-end Web Development,Database,SQL,Relational Database,Data modeling,Performance tuning"
"Redis","Back-end Web Development,Database,NoSQL,Data modeling,Performance tuning"
"NestJS","JavaScript,Back-end Web Development,Framework,Library"
"Firebase","Google,Back-end Web Development,Database,NoSQL,Realtime Database,Cloud Computing,Serverless Computing,Infrastructure,Toolings,API,DevOps,Performance monitoring,Security,Network,Analytics"
"Webpack","JavaScript,Front-end Web Development,Toolings,Bundler"
"Syntactically Awesome Style Sheets (SASS)","Programming Language,Front-end Web Development,CSS Preprocessor"
"Figma","UI/UX Design,Prototyping,Collaboration,Toolings"
"Cypress (Programming Language)","Programming Language,Testing,Front-end Web Development,Toolings"
"WordPress","Content Management System,PHP,Front-end Web Development,Back-end Web Development"
"Extensible Markup Language (XML)","Data Format,Data Exchange,Markup Language"
"Apache Kafka","Back-end Web Development,Data Streaming,Real-time Processing,Distributed Systems"
"Amazon DynamoDB","Cloud Computing,NoSQL,Database,AWS,Data modeling,Performance tuning"
